1/500	装备碎片
1/1	英雄の魔镯
1/1	英雄の魔腕
1/1	英雄の魔戒
1/1	英雄の魔指
1/1	英雄の魔带
1/1	英雄の魔靴
1/1	英雄の尊盔
1/1	英雄の尊链
1/1	英雄の尊镯
1/1	英雄の尊腕
1/1	英雄の尊戒
1/1	英雄の尊指
1/1	英雄の尊带
1/1	英雄の尊靴
)

#CHILD	1/500	RANDOM
(
1/1	末日盔
1/1	末日链
1/1	末日镯
1/1	末日腕
1/1	末日戒
1/1	末日指
1/1	末日带
1/1	末日靴
1/1	冥王盔
1/1	冥王链
1/1	冥王镯
1/1	冥王腕
1/1	冥王戒
1/1	冥王指
1/1	冥王带
1/1	冥王靴
1/1	神灵盔
1/1	神灵链
1/1	神灵镯
1/1	神灵腕
1/1	神灵戒
1/1	神灵指
1/1	神灵带
1/1	神灵靴
)

#CHILD	1/400	RANDOM
(
1/1	轩辕盔
1/1	轩辕链
1/1	轩辕镯
1/1	轩辕腕
1/1	轩辕戒
1/1	轩辕指
1/1	轩辕带
1/1	轩辕靴
1/1	寒冰盔
1/1	寒冰链
1/1	寒冰镯
1/1	寒冰腕
1/1	寒冰戒
1/1	寒冰指
1/1	寒冰带
1/1	寒冰靴
1/1	通天盔
1/1	通天链
1/1	通天镯
1/1	通天腕
1/1	通天戒
1/1	通天指
1/1	通天带
1/1	通天靴
)

#CHILD	1/300	RANDOM
(
1/1	蝴蝶盔
1/1	蝴蝶链
1/1	蝴蝶镯
1/1	蝴蝶腕
1/1	蝴蝶戒
1/1	蝴蝶指
1/1	蝴蝶带
1/1	蝴蝶靴
1/1	魔神盔
1/1	魔神链
1/1	魔神镯
1/1	魔神腕
1/1	魔神戒
1/1	魔神指
1/1	魔神带
1/1	魔神靴
1/1	道玄盔
1/1	道玄链
1/1	道玄镯
1/1	道玄腕
1/1	道玄戒
1/1	道玄指
1/1	道玄带
1/1	道玄靴
)

#CHILD	1/50	RANDOM
(
1/1	勇士头盔
1/1	贝迪头盔
1/1	道域头盔
1/1	铜域项链
1/1	水域项链
1/1	土域项链
1/1	铜域手镯
1/1	水域手镯
1/1	土域手镯
1/1	铜域戒指
1/1	水域戒指
1/1	土域戒指
1/1	神域腰带
1/1	神域靴子
1/1	寂静头饰
1/1	寂静项链
1/1	寂静左手
1/1	寂静右手
1/1	寂静左指
1/1	寂静右指
1/1	寂静靴子
1/1	寂静腰带
)

#CHILD	1/20	RANDOM
(
1/1	雷霆项链
1/1	雷霆护腕
1/1	雷霆战戒
1/1	雷霆腰带
1/1	雷霆战靴
1/1	烈焰项链
1/1	烈焰护腕
1/1	烈焰魔戒
1/1	烈焰腰带
1/1	烈焰魔靴
1/1	光芒项链
1/1	光芒护腕
1/1	光芒道戒
1/1	光芒腰带
1/1	光芒道靴
)

#CHILD	1/20	RANDOM
(
1/1	雷霆项链
1/1	雷霆护腕
1/1	雷霆战戒
1/1	雷霆腰带
1/1	雷霆战靴
1/1	烈焰项链
1/1	烈焰护腕
1/1	烈焰魔戒
1/1	烈焰腰带
1/1	烈焰魔靴
1/1	光芒项链
1/1	光芒护腕
1/1	光芒道戒
1/1	光芒腰带
1/1	光芒道靴
)

#CHILD	1/10	RANDOM
(
1/1	天尊头盔
1/1	天尊手镯
1/1	天尊戒指
1/1	天尊项链
1/1	圣战头盔
1/1	圣战手镯
1/1	圣战戒指
1/1	圣战项链
1/1	法神头盔
1/1	法神手镯
1/1	法神戒指
1/1	法神项链
)

#CHILD	1/10	RANDOM
(
1/1	天尊头盔
1/1	天尊手镯
1/1	天尊戒指
1/1	天尊项链
1/1	圣战头盔
1/1	圣战手镯
1/1	圣战戒指
1/1	圣战项链
1/1	法神头盔
1/1	法神手镯
1/1	法神戒指
1/1	法神项链
)

#CHILD	1/1	RANDOM
(
1/1	魔杖
1/1	银蛇
1/1	井中月
1/1	无极棍
1/1	幽灵项链
1/1	生命项链
1/1	天珠项链
1/1	躲避手链
1/1	幽灵手套
1/1	思贝儿手镯
1/1	心灵手镯
1/1	夏普儿手镯
1/1	辟邪手镯
1/1	龙之戒指
1/1	红宝石戒指
1/1	铂金戒指
1/1	记忆项链
1/1	记忆头盔
1/1	血饮
1/1	命运之刃
1/1	裁决之杖
1/1	骨玉权杖
1/1	龙纹剑
1/1	黑铁头盔
1/1	绿色项链
1/1	灵魂项链
1/1	恶魔铃铛
1/1	力量戒指
1/1	紫碧螺
1/1	泰坦戒指
1/1	骑士手镯
1/1	龙之手镯
1/1	三眼手镯
1/1	阎罗手套
)

#CHILD	1/1	RANDOM
(
1/1	钢盔甲(男)
1/1	钢盔甲(女)
1/1	圣龙魔袍(男)
1/1	圣龙魔袍(女)
1/1	泰坦战衣(男)
1/1	泰坦战衣(女)
1/1	重盔甲(男)
1/1	重盔甲(女)
1/1	魔法长袍(男)
1/1	魔法长袍(女)
1/1	灵魂战衣(男)
1/1	灵魂战衣(女)
1/1	金戒指
1/1	蓝翡翠项链
1/1	金手镯
1/1	道德戒指
1/1	魅力戒指
)

#CHILD	1/1	RANDOM
(
1/1	钢盔甲(男)
1/1	钢盔甲(女)
1/1	圣龙魔袍(男)
1/1	圣龙魔袍(女)
1/1	泰坦战衣(男)
1/1	泰坦战衣(女)
1/1	重盔甲(男)
1/1	重盔甲(女)
1/1	魔法长袍(男)
1/1	魔法长袍(女)
1/1	灵魂战衣(男)
1/1	灵魂战衣(女)
1/1	金戒指
1/1	蓝翡翠项链
1/1	金手镯
1/1	道德戒指
1/1	魅力戒指
)

#CHILD	1/50	RANDOM
(
1/1	青铜腰带
1/1	钢铁腰带
1/1	紫绸靴
1/1	避魂靴
)
