1/500	装备碎片
1/1	英雄の魔镯
1/1	英雄の魔腕
1/1	英雄の魔戒
1/1	英雄の魔指
1/1	英雄の魔带
1/1	英雄の魔靴
1/1	英雄の尊盔
1/1	英雄の尊链
1/1	英雄の尊镯
1/1	英雄の尊腕
1/1	英雄の尊戒
1/1	英雄の尊指
1/1	英雄の尊带
1/1	英雄の尊靴
)

#CHILD	1/400	RANDOM
(
1/1	末日盔
1/1	末日链
1/1	末日镯
1/1	末日腕
1/1	末日戒
1/1	末日指
1/1	末日带
1/1	末日靴
1/1	冥王盔
1/1	冥王链
1/1	冥王镯
1/1	冥王腕
1/1	冥王戒
1/1	冥王指
1/1	冥王带
1/1	冥王靴
1/1	神灵盔
1/1	神灵链
1/1	神灵镯
1/1	神灵腕
1/1	神灵戒
1/1	神灵指
1/1	神灵带
1/1	神灵靴
)

#CHILD	1/200	RANDOM
(
1/1	轩辕盔
1/1	轩辕链
1/1	轩辕镯
1/1	轩辕腕
1/1	轩辕戒
1/1	轩辕指
1/1	轩辕带
1/1	轩辕靴
1/1	寒冰盔
1/1	寒冰链
1/1	寒冰镯
1/1	寒冰腕
1/1	寒冰戒
1/1	寒冰指
1/1	寒冰带
1/1	寒冰靴
1/1	通天盔
1/1	通天链
1/1	通天镯
1/1	通天腕
1/1	通天戒
1/1	通天指
1/1	通天带
1/1	通天靴
)

#CHILD	1/100	RANDOM
(
1/1	蝴蝶盔
1/1	蝴蝶链
1/1	蝴蝶镯
1/1	蝴蝶腕
1/1	蝴蝶戒
1/1	蝴蝶指
1/1	蝴蝶带
1/1	蝴蝶靴
1/1	魔神盔
1/1	魔神链
1/1	魔神镯
1/1	魔神腕
1/1	魔神戒
1/1	魔神指
1/1	魔神带
1/1	魔神靴
1/1	道玄盔
1/1	道玄链
1/1	道玄镯
1/1	道玄腕
1/1	道玄戒
1/1	道玄指
1/1	道玄带
1/1	道玄靴
)

#CHILD	1/50	RANDOM
(
1/1	勇士头盔
1/1	贝迪头盔
1/1	道域头盔
1/1	铜域项链
1/1	水域项链
1/1	土域项链
1/1	铜域手镯
1/1	水域手镯
1/1	土域手镯
1/1	铜域戒指
1/1	水域戒指
1/1	土域戒指
1/1	神域腰带
1/1	神域靴子
1/1	寂静头饰
1/1	寂静项链
1/1	寂静左手
1/1	寂静右手
1/1	寂静左指
1/1	寂静右指
1/1	寂静靴子
1/1	寂静腰带
)

