;装备套装系列,装备名字,元宝,经验
轩辕魔神无极,轩辕头盔,2000,10000000
轩辕魔神无极,轩辕项链,2000,10000000
轩辕魔神无极,轩辕手镯,2000,10000000
轩辕魔神无极,轩辕戒指,2000,10000000
轩辕魔神无极,轩辕腰带,2000,10000000
轩辕魔神无极,轩辕靴,2000,10000000
轩辕魔神无极,魔神头盔,2000,10000000
轩辕魔神无极,魔神项链,2000,10000000
轩辕魔神无极,魔神手镯,2000,10000000
轩辕魔神无极,魔神戒指,2000,10000000
轩辕魔神无极,魔神腰带,2000,10000000
轩辕魔神无极,魔神靴,2000,10000000
轩辕魔神无极,无极头盔,2000,10000000
轩辕魔神无极,无极项链,2000,10000000
轩辕魔神无极,无极手镯,2000,10000000
轩辕魔神无极,无极戒指,2000,10000000
轩辕魔神无极,无极腰带,2000,10000000
轩辕魔神无极,无极靴,2000,10000000
金刚魔尊阴龙,金刚の盔,5000,10000000
金刚魔尊阴龙,金刚の链,5000,10000000
金刚魔尊阴龙,金刚の镯,5000,10000000
金刚魔尊阴龙,金刚の戒,5000,10000000
金刚魔尊阴龙,金刚の带,5000,10000000
金刚魔尊阴龙,金刚の靴,5000,10000000
金刚魔尊阴龙,魔尊の盔,5000,10000000
金刚魔尊阴龙,魔尊の链,5000,10000000
金刚魔尊阴龙,魔尊の镯,5000,10000000
金刚魔尊阴龙,魔尊の戒,5000,10000000
金刚魔尊阴龙,魔尊の带,5000,10000000
金刚魔尊阴龙,魔尊の靴,5000,10000000
金刚魔尊阴龙,阴龙の盔,5000,10000000
金刚魔尊阴龙,阴龙の链,5000,10000000
金刚魔尊阴龙,阴龙の镯,5000,10000000
金刚魔尊阴龙,阴龙の戒,5000,10000000
金刚魔尊阴龙,阴龙の带,5000,10000000
金刚魔尊阴龙,阴龙の靴,5000,10000000
普通诅咒系列,战神の帝,8000,20000000
普通诅咒系列,守护の神,8000,20000000
普通诅咒系列,傀儡の隐,8000,20000000
普通诅咒系列,诅咒の亡,8000,20000000
普通诅咒系列,凤凰の飞,8000,20000000
普通诅咒系列,精灵の翔,8000,20000000
普通诅咒系列,诅咒の带,8000,20000000
普通诅咒系列,诅咒の靴,8000,20000000
仙类诅咒系列,仙·战神の帝,20000,60000000
仙类诅咒系列,仙·守护の神,20000,60000000
仙类诅咒系列,仙·傀儡の隐,20000,60000000
仙类诅咒系列,仙·诅咒の亡,20000,60000000
仙类诅咒系列,仙·凤凰の飞,20000,60000000
仙类诅咒系列,仙·精灵の翔,20000,60000000
仙类诅咒系列,仙·诅咒の带,20000,60000000
仙类诅咒系列,仙·诅咒の靴,20000,60000000
重装剑甲系列,圣战之刃,300,30000
重装剑甲系列,蓝灵法杖,300,30000
重装剑甲系列,蓝灵龙纹,300,30000
重装剑甲系列,绿玉裁决,300,30000
重装剑甲系列,法神之杖,300,30000
重装剑甲系列,金域无极棍,300,30000
重装剑甲系列,天魔神甲,300,30000
重装剑甲系列,圣战宝甲,300,30000
重装剑甲系列,法神披风,300,30000
重装剑甲系列,霓裳羽衣,300,30000
重装剑甲系列,天尊道袍,300,30000
重装剑甲系列,天师长袍,300,30000
重装剑甲系列,朱雀魔甲,800,60000
重装剑甲系列,朱雀魔袍,800,60000
重装剑甲系列,白虎战甲,800,60000
重装剑甲系列,白虎战袍,800,60000
重装剑甲系列,青龙道甲,800,60000
重装剑甲系列,青龙道袍,800,60000
中级剑甲系列,骑士战袍(男),4000,1000000
中级剑甲系列,骑士战袍(女),4000,1000000
中级剑甲系列,骑士魔袍(男),4000,1000000
中级剑甲系列,骑士魔袍(女),4000,1000000
中级剑甲系列,骑士道袍(男),4000,1000000
中级剑甲系列,骑士道袍(女),4000,1000000
中级剑甲系列,恶魔权杖,5000,2000000
中级剑甲系列,天尊之扇,5000,2000000
中级剑甲系列,绿玉屠龙,5000,2000000
中级剑甲系列,轩辕开天,9000,30000000
中级剑甲系列,无极玄天,9000,30000000
中级剑甲系列,魔神镇天,9000,30000000
中级剑甲系列,轩辕战甲,9000,20000000
中级剑甲系列,轩辕战袍,9000,20000000
中级剑甲系列,魔神魔甲,9000,20000000
中级剑甲系列,魔神魔袍,9000,20000000
中级剑甲系列,无极道甲,9000,20000000
中级剑甲系列,无极道袍,9000,20000000
次终剑甲系列,金刚の刃,10000,40000000
次终剑甲系列,金刚の甲,10000,40000000
次终剑甲系列,金刚の袍,10000,40000000
次终剑甲系列,魔尊の杖,10000,40000000
次终剑甲系列,魔尊の甲,10000,40000000
次终剑甲系列,魔尊の袍,10000,40000000
次终剑甲系列,阴龙の剑,10000,40000000
次终剑甲系列,阴龙の甲,10000,40000000
次终剑甲系列,阴龙の袍,10000,40000000
次终剑甲系列,屠龙の刀,30000,50000000
次终剑甲系列,星光の剑,30000,50000000
次终剑甲系列,倚天の剑,30000,50000000
次终剑甲系列,苍龙の甲,30000,50000000
次终剑甲系列,苍龙の袍,30000,50000000
次终剑甲系列,仙·屠龙の刀,50000,70000000
次终剑甲系列,仙·星光の剑,50000,70000000
次终剑甲系列,仙·倚天の剑,50000,70000000
次终剑甲系列,仙·苍龙の甲,50000,70000000
次终剑甲系列,仙·苍龙の袍,50000,70000000
特殊装备系列,爱情鲜花,100,1000000
特殊装备系列,渡江客,100,1000000
特殊装备系列,虚空之眼,100,1000000
特殊装备系列,承运虎符章,100,1000000
特殊装备系列,苍穹之泪,200,2000000
特殊装备系列,不破禅,200,2000000
特殊装备系列,幻梦流光,200,2000000
特殊装备系列,辟邪金甲符,200,2000000
特殊装备系列,凤凰余烬,300,4000000
特殊装备系列,白毒笠,300,4000000
特殊装备系列,亡者低语,300,4000000
特殊装备系列,山河永震印,300,4000000
特殊装备系列,深渊凝视,1000,8000000
特殊装备系列,蜃楼笠,1000,8000000
特殊装备系列,先祖之魂,1000,8000000
特殊装备系列,万兽裂空玺,1000,8000000
特殊装备系列,深渊凝视[印+1],2000,1000000
特殊装备系列,深渊凝视[印+2],3000,1000000
特殊装备系列,深渊凝视[终极],4000,1000000
特殊装备系列,蜃楼笠[印+1],2000,1000000
特殊装备系列,蜃楼笠[印+2],3000,1000000
特殊装备系列,蜃楼笠[终极],4000,1000000
特殊装备系列,先祖之魂[印+1],2000,1000000
特殊装备系列,先祖之魂[印+2],3000,1000000
特殊装备系列,先祖之魂[终极],4000,1000000
特殊装备系列,万兽裂空玺[印+1],2000,1000000
特殊装备系列,万兽裂空玺[印+2],3000,1000000
特殊装备系列,万兽裂空玺[终极],4000,1000000
特殊装备系列,炎燎,100,1000000
特殊装备系列,血戾,200,2000000
特殊装备系列,轮湮,300,4000000
特殊装备系列,天地の攻,600,6000000
特殊装备系列,天地の防,1000,6000000
特殊装备系列,天地の攻防,2000,8000000
特殊装备系列,麻痹戒指[印+1],100,1000000
特殊装备系列,麻痹戒指[印+2],200,1000000
特殊装备系列,麻痹戒指[印+3],300,1000000
特殊装备系列,麻痹戒指[印+4],600,1000000
特殊装备系列,麻痹戒指[印+5],1000,1000000
特殊装备系列,麻痹戒指[终极],3000,1000000
特殊装备系列,护身戒指[印+1],100,1000000
特殊装备系列,护身戒指[印+2],200,1000000
特殊装备系列,护身戒指[印+3],300,1000000
特殊装备系列,护身戒指[印+4],600,1000000
特殊装备系列,护身戒指[印+5],1000,1000000
特殊装备系列,护身戒指[终极],3000,1000000
特殊装备系列,复活戒指[印+1],100,1000000
特殊装备系列,复活戒指[印+2],200,1000000
特殊装备系列,复活戒指[印+3],300,1000000
特殊装备系列,复活戒指[印+4],600,1000000
特殊装备系列,复活戒指[印+5],1000,1000000
特殊装备系列,复活戒指[终极],3000,1000000
