;地图	坐标X	坐标Y	怪物名字	范围	数量	0	集中刷新坐标机率	名字颜色(0~255)	内功怪物(0,1)	国家ID		
D2077	201	202	虹魔蝎卫	400	20	2	0	250				
D2077	201	202	大老鼠	400	50	2	0	250				
D2077	201	202	祖玛雕像	400	50	2	0	250				
D2077	201	202	祖玛卫士	400	50	2	0	250				
D2077	201	202	祖玛弓箭手	400	50	2	0	250				
D2077	201	202	千年树妖	400	10	3	0	250				
D2077	201	202	虹魔教主	400	10	2	0	70				
D2077	201	202	清风送礼[福利BOSS]1	1	1	12	0	253				
;骨魔洞						0						
D2065	154	150	恶灵僵尸	300	120	2	0	250				
D2065	154	150	骷髅锤兵	300	120	2	0	250				
D2065	154	150	骷髅长枪兵	300	120	2	0	250				
D2065	154	150	骷髅刀斧手	300	120	2	0	250				
D2065	154	150	骷髅弓箭手	300	120	2	0	250				
D2065	154	150	黄泉教主	300	3	6	0	70				
N0115	12	14	骷髅弓箭手	10	50	2	0	250				
N0115	12	14	黄泉教主	10	5	6	0	70				
N0115	7	9	清风送礼[福利BOSS]1	1	1	12	0	253				
;牛魔寺庙						0						
D2078	150	157	牛头魔	300	120	2	0	155				
D2078	150	157	牛魔战士	300	120	2	0	155				
D2078	150	157	牛魔斗士	300	120	2	0	155				
D2078	150	157	牛魔侍卫	300	120	2	0	155				
D2078	150	157	牛魔将军	300	120	2	0	155				
D2078	150	157	牛魔法师	300	120	2	0	155				
D2078	150	157	牛魔祭司	300	120	2	0	155				
D2078	150	157	牛魔王	300	3	6	0	70				
D2078	150	157	暗之牛魔王	150	1	6	0	249				
n0116	14	17	牛魔法师	30	50	2	0	155				
n0116	14	17	牛魔王	15	5	6	0	70				
n0116	14	17	暗之牛魔王	15	5	6	0	249				
n0116	16	11	清风送礼[福利BOSS]1	1	1	12	0	253				
;祖玛寺庙						0						
H007	104	103	楔蛾	200	50	2	0	250				
H007	104	103	大老鼠	200	120	2	0	250				
H007	104	103	祖玛雕像	200	120	2	0	250				
H007	104	103	祖玛卫士	200	120	2	0	250				
H007	104	103	祖玛弓箭手	200	120	2	0	250				
H007	104	103	祖玛教主	200	1	6	0	70				
01141	11	13	楔蛾	20	50	2	0	250				
01141	11	13	祖玛弓箭手	20	50	2	0	250				
01141	6	16	祖玛教主	1	1	6	0	70				
01141	17	11	祖玛教主	1	1	6	0	70				
01141	11	10	祖玛教主	1	1	6	0	70				
01141	5	10	祖玛教主	1	1	6	0	70				
01141	11	4	清风送礼[福利BOSS]1	1	1	12	0	253				
;赤月峡谷						0						
H009	128	140	血僵尸	155	30	2	0	20				
H009	128	140	血巨人	150	30	2	0	20				
H009	128	140	月魔蜘蛛	150	120	2	0	219				
H009	128	140	黑锷蜘蛛	150	120	2	0	6				
H009	128	140	钢牙蜘蛛	150	120	2	0	6				
H009	128	140	天狼蜘蛛	150	120	2	0	6				
H009	128	140	花吻蜘蛛	150	120	2	0	222				
H009	128	140	暴牙蜘蛛	150	120	2	0	6				
H009	128	140	赤月恶魔	150	1	6	0	70				
D10062	22	19	月魔蜘蛛	15	30	2	0	219				
D10062	22	19	钢牙蜘蛛	15	30	2	0	6				
D10062	22	19	清风送礼[福利BOSS]1	1	1	12	0	253				
D10062	23	18	赤月恶魔	150	2	6	0	70				
;奴隶洞						0						
M003	100	100	奴隶	200	150	2	0	255				
M003	100	100	奴隶	200	150	2	0	255				
M003	100	100	奴隶主	200	10	2	0	254				
M003	100	100	米尔皇帝	200	1	6	0	70				
F004	46	52	奴隶	50	50	2	0	255				
F004	46	52	奴隶主	50	40	2	0	254				
F004	46	52	米尔皇帝	50	5	6	0	70				
F004	80	70	清风送礼[福利BOSS]1	1	1	12	0	253				
;蚂蚁洞穴						0						
d422	150	150	火蚁	300	300	2	0	19				
d422	150	150	兵蚁	300	300	2	0	154				
d422	150	150	毒蚁	300	300	2	0	222				
d422	150	150	工蚁	300	300	2	0	154				
d422	150	150	蚁后	300	2	6	0	249				
d422	150	150	蚁王	300	1	6	0	249				
E404	42	40	火蚁	50	50	2	0	19				
E404	42	40	蚁后	50	5	6	0	249				
E404	42	40	蚁王	50	3	6	0	249				
E404	42	40	清风送礼[福利BOSS]1	1	1	12	0	253				
;钳虫巢穴						0						
T232	21	28	暗之沃玛教主	10	3	2	0	249				
T232	21	28	清风送礼[福利BOSS]1	1	1	18	0	253				
;死亡神殿						0						
T218	14	19	暗之虹魔教主	10	3	2	0	249				
T218	14	19	清风送礼[福利BOSS]1	1	1	18	0	253				
;地狱烈焰						0						
T339	24	27	暗之骷髅精灵	10	3	2	0	249				
T339	24	27	清风送礼[福利BOSS]1	1	1	18	0	253				
;深渊魔域						0						
T219	50	79	暗之双头金刚	1	3	2	0	249				
T219	50	79	清风送礼[福利BOSS]1	1	1	18	0	253				
;堕落坟场						0						
T315	49	31	暗之黄泉教主	1	3	2	0	249				
T315	49	31	清风送礼[福利BOSS]1	1	1	18	0	253				
;困惑殿堂						0						
T118	16	18	暗之双头血魔	10	3	2	0	249				
T118	16	18	清风送礼[福利BOSS]1	1	1	18	0	253				
;魔龙城						0						
6	250	250	魔龙刀兵	500	50	3	0	254				
6	250	250	魔龙巨蛾	500	50	3	0	254				
6	250	250	魔龙力士	500	50	3	0	254				
6	250	250	魔龙射手	500	50	3	0	254				
6	250	250	魔龙战将	500	50	3	0	254				
6	250	250	魔龙破甲兵	500	50	3	0	254				
6	250	250	魔龙教主	500	20	6	0	249				
6	250	250	暗之魔龙教主	500	20	6	0	249				
6	250	250	『普通』魔龙刀兵	500	50	3	0	255				
6	250	250	『普通』魔龙巨蛾	500	50	3	0	255				
6	250	250	『普通』魔龙力士	500	50	3	0	255				
6	250	250	『普通』魔龙射手	500	50	3	0	255				
6	250	250	『普通』魔龙战将	500	50	3	0	255				
6	250	250	『精英』魔龙刀兵	500	50	3	0	229				
6	250	250	『精英』魔龙巨蛾	500	50	3	0	229				
6	250	250	『精英』魔龙力士	500	50	3	0	229				
6	250	250	『精英』魔龙射手	500	50	3	0	229				
6	250	250	『精英』魔龙战将	500	50	3	0	229				
6	250	250	『修罗』魔龙刀兵	500	50	3	0	6				
6	250	250	『修罗』魔龙巨蛾	500	50	3	0	6				
6	250	250	『修罗』魔龙力士	500	50	3	0	6				
6	250	250	『修罗』魔龙射手	500	50	3	0	6				
6	250	250	『修罗』魔龙战将	500	50	3	0	6				
6	250	250	清风送礼[福利BOSS]1	1	1	12	0	253				
;--------------------------------------------------						0						
611	100	100	魔龙刀兵	200	30	3	0	254				
611	100	100	魔龙巨蛾	200	30	3	0	254				
611	100	100	魔龙力士	200	30	3	0	254				
611	100	100	魔龙射手	200	30	3	0	254				
611	100	100	魔龙战将	200	30	3	0	254				
611	100	100	魔龙破甲兵	200	30	3	0	254				
611	100	100	魔龙教主	200	5	6	0	249				
611	100	100	暗之魔龙教主	200	5	6	0	249				
611	100	100	清风送礼[福利BOSS]1	1	1	12	0	253				
611	100	100	『普通』魔龙刀兵	200	30	3	0	255				
611	100	100	『普通』魔龙巨蛾	200	30	3	0	255				
611	100	100	『普通』魔龙力士	200	30	3	0	255				
611	100	100	『普通』魔龙射手	200	30	3	0	255				
611	100	100	『普通』魔龙战将	200	30	3	0	255				
611	100	100	『精英』魔龙刀兵	200	30	3	0	229				
611	100	100	『精英』魔龙巨蛾	200	30	3	0	229				
611	100	100	『精英』魔龙力士	200	30	3	0	229				
611	100	100	『精英』魔龙射手	200	30	3	0	229				
611	100	100	『精英』魔龙战将	200	30	3	0	229				
611	100	100	『修罗』魔龙刀兵	200	30	3	0	6				
611	100	100	『修罗』魔龙巨蛾	200	30	3	0	6				
611	100	100	『修罗』魔龙力士	200	30	3	0	6				
611	100	100	『修罗』魔龙射手	200	30	3	0	6				
611	100	100	『修罗』魔龙战将	200	30	3	0	6				
;--------------------------------------------------						0						
66	150	150	魔龙刀兵	300	60	3	0	255				
66	150	150	魔龙巨蛾	300	60	3	0	255				
66	150	150	魔龙力士	300	60	3	0	255				
66	150	150	魔龙射手	300	60	3	0	255				
66	150	150	魔龙战将	300	60	3	0	255				
66	150	150	魔龙破甲兵	300	60	3	0	255				
66	150	150	魔龙教主	300	5	6	0	249				
66	150	150	暗之魔龙教主	300	5	6	0	249				
66	150	150	『普通』魔龙刀兵	300	30	3	0	255				
66	150	150	『普通』魔龙巨蛾	300	30	3	0	255				
66	150	150	『普通』魔龙力士	300	30	3	0	255				
66	150	150	『普通』魔龙射手	300	30	3	0	255				
66	150	150	『普通』魔龙战将	300	30	3	0	255				
66	150	150	『精英』魔龙刀兵	300	30	3	0	229				
66	150	150	『精英』魔龙巨蛾	300	30	3	0	229				
66	150	150	『精英』魔龙力士	300	30	3	0	229				
66	150	150	『精英』魔龙射手	300	30	3	0	229				
66	150	150	『精英』魔龙战将	300	30	3	0	229				
66	150	150	『修罗』魔龙刀兵	300	30	3	0	6				
66	150	150	『修罗』魔龙巨蛾	300	30	3	0	6				
66	150	150	『修罗』魔龙力士	300	30	3	0	6				
66	150	150	『修罗』魔龙射手	300	30	3	0	6				
66	150	150	『修罗』魔龙战将	300	30	3	0	6				
66	150	150	『魔化』魔龙刀兵	300	20	3	0	241				
66	150	150	『魔化』魔龙巨蛾	300	20	3	0	241				
66	150	150	『魔化』魔龙力士	300	20	3	0	241				
66	150	150	『魔化』魔龙射手	300	20	3	0	241				
66	150	150	『魔化』魔龙战将	300	20	3	0	241				
66	150	150	『变异』魔龙刀兵	300	20	3	0	93				
66	150	150	『变异』魔龙巨蛾	300	20	3	0	93				
66	150	150	『变异』魔龙力士	300	20	3	0	93				
66	150	150	『变异』魔龙射手	300	20	3	0	93				
66	150	150	『变异』魔龙战将	300	20	3	0	93				
66	150	150	『魔化』魔龙教主	300	20	3	0	249				
66	150	150	『变异』魔龙教主	300	20	3	0	249				
66	150	150	『变异』暗之魔龙教主	300	20	3	0	249				
66	150	150	『BOSS』暗之魔龙教主	300	20	3	0	93				
66	150	150	清风送礼[福利BOSS]1	1	1	12	0	253				
;玛法异界						0						
玛法异界	200	200	虹魔猪卫	400	50	2	0	6				
玛法异界	200	200	虹魔蝎卫	400	20	2	0	6				
玛法异界	200	200	半兽统领	400	20	2	0	19				
玛法异界	200	200	巨型多角虫	400	50	2	0	255				
玛法异界	200	200	花吻蜘蛛	400	50	2	0	222				
玛法异界	200	200	邪恶毒蛇	400	50	2	0	6				
玛法异界	200	200	月魔蜘蛛	400	20	2	0	222				
玛法异界	200	200	电僵王	400	20	2	0	255				
玛法异界	200	200	恶灵尸王	400	20	2	0	255				
玛法异界	200	200	半兽统领	400	20	2	0	250				
玛法异界	200	200	火蚁	400	50	2	0	6				
玛法异界	200	200	兵蚁	400	50	2	0	6				
玛法异界	200	200	毒蚁	400	50	2	0	6				
玛法异界	200	200	工蚁	400	50	2	0	6				
玛法异界	200	200	蚁后	400	5	6	0	249				
玛法异界	200	200	蚁王	400	5	6	0	249				
玛法异界	200	200	千年树妖	400	20	3	0	8				
玛法异界	200	200	赤月恶魔	400	5	6	0	70				
玛法异界	200	200	触龙神	400	5	6	0	70				
玛法异界	200	200	钳虫统领	400	5	6	0	70				
玛法异界	200	200	万年树妖	400	5	6	0	70				
玛法异界	200	200	米尔皇帝	400	5	6	0	70				
玛法异界	200	200	牛魔王	400	5	6	0	70				
玛法异界	200	200	双头血魔	400	5	6	0	70				
玛法异界	200	200	双头金刚	400	5	6	0	70				
玛法异界	200	200	黄泉教主	400	5	6	0	70				
玛法异界	200	200	沃玛教主	400	5	6	0	70				
玛法异界	200	200	虹魔教主	400	5	6	0	70				
玛法异界	200	200	『魔化』暗之牛魔王	400	5	6	0	241				
玛法异界	200	200	『魔化』暗之双头血魔	400	5	6	0	241				
玛法异界	200	200	『魔化』暗之双头金刚	400	5	6	0	241				
玛法异界	200	200	『魔化』暗之黄泉教主	400	5	6	0	241				
玛法异界	200	200	『魔化』暗之骷髅精灵	400	5	6	0	241				
玛法异界	200	200	『魔化』暗之沃玛教主	400	5	6	0	241				
玛法异界	200	200	『魔化』暗之虹魔教主	400	5	6	0	241				
玛法异界	200	200	『变异』暗之沃玛教主	400	5	6	0	249				
玛法异界	200	200	『变异』暗之双头金刚	400	5	6	0	249				
玛法异界	200	200	『变异』暗之黄泉教主	400	5	6	0	249				
玛法异界	200	200	『变异』暗之骷髅精灵	400	5	6	0	249				
玛法异界	200	200	『变异』暗之虹魔教主	400	5	6	0	249				
玛法异界	200	200	『变异』暗之双头血魔	400	5	6	0	249				
玛法异界	200	200	玛法教主	400	3	6	0	249				
玛法异界	200	200	黑山老妖	400	3	6	0	249				
玛法异界	200	200	恶魔之主	400	3	6	0	249				
玛法异界	200	200	兽人王	400	3	6	0	249				
玛法异界	200	200	恶龙之灵	400	3	6	0	249				
玛法异界	200	200	食人魔	400	3	6	0	249				
玛法异界	200	200	镇天霸主	400	3	6	0	249				
玛法异界	200	200	圣兽白虎	400	3	6	0	249				
玛法异界	200	200	圣兽青龙	400	3	6	0	249				
玛法异界	200	200	圣兽朱雀	400	3	6	0	249				
玛法异界	200	200	圣兽玄武	400	3	6	0	249				
玛法异界	200	200	沼泽魔王	400	3	6	0	249				
玛法异界	200	200	深渊魔王	400	3	6	0	249				
玛法异界	200	200	远古霸主	400	3	6	0	249				
玛法异界	200	200	清风送礼[福利BOSS]1	1	1	12	0	253				
;深渊副本						0						
深渊宝藏	150	150	深渊恶鬼	300	50	2	0	255				
深渊宝藏	150	150	深渊死灵	300	50	2	0	255				
深渊宝藏	150	150	深渊之惧	300	50	2	0	255				
深渊宝藏	150	150	深渊祭祀	300	15	2	0	251				
深渊宝藏	150	150	深渊魔王	300	2	6	0	249				
深渊宝藏	150	150	清风送礼[福利BOSS]1	1	1	12	0	253				
;远古神殿						0						
远古神殿一层	70	70	远古骷髅	150	20	2	0	5				
远古神殿一层	70	70	远古护卫	150	20	2	0	5				
远古神殿一层	70	70	远古射手	150	20	2	0	5				
远古神殿一层	70	70	远古统领	150	20	2	0	5				
远古神殿一层	70	70	远古霸主	150	1	12	0	93				
远古神殿一层	70	70	清风送礼[福利BOSS]1	1	1	12	0	253				
远古神殿二层	50	50	远古骷髅	100	20	2	0	5				
远古神殿二层	50	50	远古护卫	100	20	2	0	5				
远古神殿二层	50	50	远古射手	100	20	2	0	5				
远古神殿二层	50	50	远古统领	100	20	2	0	5				
远古神殿二层	50	50	远古霸主	100	1	12	0	93				
远古神殿二层	50	50	清风送礼[福利BOSS]1	1	1	12	0	253				
远古神殿三层	25	25	远古骷髅	50	50	2	0	5				
远古神殿三层	25	25	远古护卫	50	50	2	0	5				
远古神殿三层	25	25	远古射手	50	50	2	0	5				
远古神殿三层	25	25	远古统领	50	30	2	0	5				
远古神殿三层	27	28	远古霸主	5	1	6	0	93				
远古神殿三层	27	28	清风送礼[福利BOSS]1	1	1	12	0	253				
;恐怖森林						0						
F003	50	50	『BOSS』暴牙蜘蛛	100	25	2	0	255				
F003	50	50	『BOSS』月魔蜘蛛	100	25	2	0	255				
F003	50	50	『BOSS』钢牙蜘蛛	100	25	2	0	255				
F003	50	50	『BOSS』花吻蜘蛛	100	25	2	0	255				
F003	50	50	『BOSS』暗之双头血魔	100	5	2	0	70				
F003	50	50	黑山老妖	100	1	6	0	249				
F003	50	50	清风送礼[福利BOSS]1	1	1	12	0	253				
;镇魔阁						0						
GA1	20	31	『BOSS』暴牙蜘蛛	10	15	2	0	255				
GA1	20	31	『BOSS』月魔蜘蛛	10	15	2	0	255				
GA1	20	31『BOSS』钢牙蜘蛛	10	15	20	0	255					
GA1	20	31『BOSS』花吻蜘蛛	10	15	20	0	255					
GA1	20	31『BOSS』暗之双头血魔	10	5	20	0	70					
GA1	15	25	镇天霸主	10	1	6	0	249				
GA1	20	31	清风送礼[福利BOSS]1	1	1	18	0	253				
;兽人谷						0						
D024	50	50	『BOSS』沃玛卫士	100	40	2	0	255				
D024	50	50	『BOSS』沃玛战士	100	40	2	0	255				
D024	50	50	『BOSS』沃玛勇士	100	40	2	0	255				
D024	50	50	『BOSS』沃玛战将	100	40	2	0	255				
D024	50	50	『BOSS』沃玛教主	100	10	3	0	70				
D024	50	50	兽人王	1	1	6	0	249				
D024	50	50	清风送礼[福利BOSS]1	1	1	18	0	253				
;食人谷						0						
D717	50	50	『BOSS』电僵王	100	30	2	0	255				
D717	50	50	『BOSS』白野猪	100	40	2	0	255				
D717	50	50	『BOSS』黑色恶蛆	100	40	2	0	255				
D717	50	50	『BOSS』邪恶毒蛇	100	20	2	0	255				
D717	58	49	『BOSS』万年树妖	0	3	6	0	70				
D717	50	50	食人魔	100	1	6	0	249				
D717	50	50	清风送礼[福利BOSS]1	1	1	18	0	253				
;古墓遗址						0						
D2079	50	50	『BOSS』牛魔战士	100	20	2	0	255				
D2079	50	50	『BOSS』牛魔侍卫	100	20	2	0	255				
D2079	50	50	『BOSS』牛魔将军	100	20	2	0	255				
D2079	50	50	『BOSS』牛魔法师	100	20	2	0	255				
D2079	50	50	『BOSS』牛魔祭司	100	20	2	0	241				
D2079	50	50	『BOSS』牛魔王	100	5	3	0	70				
D2079	52	51	玛法教主	1	1	6	0	249				
D2079	52	51	清风送礼[福利BOSS]1	1	1	18	0	253				
;腐蚀深渊						0						
腐蚀深渊	50	50	『变异』牛魔法师	100	20	2	0	255				
腐蚀深渊	50	50	『变异』月魔蜘蛛	100	20	2	0	255				
腐蚀深渊	50	50	『变异』黑锷蜘蛛	100	20	2	0	255				
腐蚀深渊	50	50	『变异』血僵尸	100	20	2	0	255				
腐蚀深渊	50	50	『变异』双头血魔	100	3	3	0	70				
腐蚀深渊	52	42	沼泽魔王	0	1	6	0	249				
腐蚀深渊	52	42	清风送礼[福利BOSS]1	1	1	18	0	253				
;藏宝阁						0						
藏宝阁	20	79	千年树妖	0	1	3	0	70				
藏宝阁	80	79	千年树妖	0	1	3	0	70				
藏宝阁	77	22	千年树妖	0	1	3	0	70				
藏宝阁	23	21	千年树妖	0	1	3	0	70				
藏宝阁	50	50	『变异』楔蛾	100	30	2	0	255				
藏宝阁	50	50	『变异』祖玛卫士	100	30	2	0	255				
藏宝阁	50	50	『变异』祖玛雕像	100	30	2	0	255				
藏宝阁	50	50	『变异』祖玛弓箭手	100	30	2	0	255				
藏宝阁	50	50	『变异』牛魔王	100	3	6	0	249				
藏宝阁	50	50	『变异』双头金刚	100	3	6	0	249				
藏宝阁	50	50	『变异』黄泉教主	100	3	6	0	249				
藏宝阁	50	50	『变异』沃玛教主	100	3	6	0	249				
藏宝阁	50	50	『变异』双头血魔	100	3	6	0	249				
藏宝阁	50	50	『变异』虹魔教主	100	3	6	0	249				
藏宝阁	50	50	蚁后	100	3	6	0	249				
藏宝阁	50	50	清风送礼[福利BOSS]1	1	1	18	0	253				
;恶龙池						0						
D2052	50	50	『变异』恶灵僵尸	100	30	2	0	255				
D2052	50	50	『变异』沃玛卫士	100	30	2	0	255				
D2052	50	50	『变异』沃玛勇士	100	30	2	0	255				
D2052	50	50	『变异』钳虫统领	100	5	2	0	255				
D2052	50	50	『变异』黄泉教主	100	5	6	0	70				
D2052	50	50	恶龙之灵	1	1	6	0	249				
D2052	50	50	清风送礼[福利BOSS]1	1	1	18	0	253				
;恶魔禁地						0						
D5071	25	25	『BOSS』骷髅长枪兵	50	20	2	0	255				
D5071	25	25	『BOSS』骷髅刀斧手	50	20	2	0	255				
D5071	25	25	『BOSS』骷髅弓箭手	50	20	2	0	255				
D5071	25	25	『BOSS』恶灵尸王	50	3	2	0	70				
D5071	20	22	『BOSS』万年树妖	1	2	3	0	70				
D5071	20	22	恶魔之主	3	1	6	0	249				
D5071	20	22	清风送礼[福利BOSS]1	1	1	18	0	253				
;白虎禁地						0						
ss1	22	22	圣兽白虎	1	2	6	0	249				
ss1	22	22	『BOSS』黑锷蜘蛛	50	15	2	0	255				
ss1	22	22	『BOSS』钢牙蜘蛛	50	15	2	0	255				
ss1	22	22	『BOSS』花吻蜘蛛	50	15	2	0	255				
ss1	22	22	『BOSS』月魔蜘蛛	50	5	2	0	255				
ss1	22	22	『BOSS』暗之双头血魔	50	5	3	0	70				
ss1	22	22	『BOSS』暗之双头金刚	50	5	3	0	70				
ss1	22	22	清风送礼[福利BOSS]1	1	1	12	0	253				
;朱雀禁地						0						
ss2	22	22	圣兽朱雀	1	2	6	0	249				
ss2	22	22	『BOSS』黑锷蜘蛛	50	15	2	0	255				
ss2	22	22	『BOSS』钢牙蜘蛛	50	15	2	0	255				
ss2	22	22	『BOSS』花吻蜘蛛	50	15	2	0	255				
ss2	22	22	『BOSS』月魔蜘蛛	50	5	2	0	255				
ss2	22	22	『BOSS』暗之双头血魔	50	5	3	0	70				
ss2	22	22	『BOSS』暗之双头金刚	50	5	3	0	70				
ss2	22	22	清风送礼[福利BOSS]1	1	1	12	0	253				
;玄武禁地						0						
ss3	22	22	圣兽玄武	1	2	6	0	249				
ss3	22	22	『BOSS』黑锷蜘蛛	50	15	2	0	255				
ss3	22	22	『BOSS』钢牙蜘蛛	50	15	2	0	255				
ss3	22	22	『BOSS』花吻蜘蛛	50	15	2	0	255				
ss3	22	22	『BOSS』月魔蜘蛛	50	5	2	0	255				
ss3	22	22	『BOSS』暗之双头血魔	50	5	3	0	70				
ss3	22	22	『BOSS』暗之双头金刚	50	5	3	0	70				
ss3	22	22	清风送礼[福利BOSS]1	1	1	12	0	253				
;青龙						0						
ss4	22	22	圣兽青龙	1	2	6	0	249				
ss4	22	22	『BOSS』黑锷蜘蛛	50	15	2	0	255				
ss4	22	22	『BOSS』钢牙蜘蛛	50	15	2	0	255				
ss4	22	22	『BOSS』花吻蜘蛛	50	15	2	0	255				
ss4	22	22	『BOSS』月魔蜘蛛	50	5	2	0	255				
ss4	22	22	『BOSS』暗之双头血魔	50	5	3	0	70				
ss4	22	22	『BOSS』暗之双头金刚	50	5	3	0	70				
ss4	22	22	清风送礼[福利BOSS]1	1	1	12	0	253				
;===========二大路九黎刷怪==============================						0						
九黎	296	491	清风送礼[福利BOSS]2	1	1	12	0	253				
九黎	160	219	封印雕像	50	10	6	0	151				
九黎	160	219	封印雕像	50	10	6	0	151	0	0		
九黎	160	219	流放法师	50	10	6	0	151				
九黎	160	219	流放法师	50	10	6	0	151	0	0		
九黎	160	219	英雄守卫	50	10	6	0	151				
九黎	160	219	英雄守卫	50	10	6	0	151	0	0		
九黎	160	219	鬼将	150	10	6	0	19				
九黎	160	219	鬼将	150	10	6	0	19	0	0		
九黎	160	219	鬼卫	150	10	6	0	19				
